x,y,id,area_m
126.5,-42.5,8,9130708992
127.5,-42.5,8,9130708992
128.5,-42.5,8,9130708992
129.5,-42.5,8,9130708992
130.5,-42.5,8,9130708992
131.5,-42.5,8,9130708992
132.5,-42.5,8,9130708992
133.5,-42.5,8,9130708992
134.5,-42.5,8,9130708992
135.5,-42.5,8,9130708992
-170.5,-43.5,14,8985387008
-169.5,-43.5,14,8985387008
-168.5,-43.5,14,8985387008
-167.5,-43.5,14,8985387008
-166.5,-43.5,14,8985387008
-165.5,-43.5,14,8985387008
-164.5,-43.5,14,8985387008
-163.5,-43.5,14,8985387008
-162.5,-43.5,14,8985387008
-161.5,-43.5,14,8985387008
-160.5,-43.5,14,8985387008
-159.5,-43.5,14,8985387008
-158.5,-43.5,14,8985387008
-157.5,-43.5,14,8985387008
-156.5,-43.5,14,8985387008
-155.5,-43.5,14,8985387008
-154.5,-43.5,14,8985387008
-153.5,-43.5,14,8985387008
-152.5,-43.5,14,8985387008
-151.5,-43.5,14,8985387008
-150.5,-43.5,14,8985387008
-149.5,-43.5,14,8985387008
-148.5,-43.5,14,8985387008
-147.5,-43.5,14,8985387008
-146.5,-43.5,14,8985387008
-145.5,-43.5,14,8985387008
-144.5,-43.5,14,8985387008
-143.5,-43.5,14,8985387008
-142.5,-43.5,14,8985387008
-141.5,-43.5,14,8985387008
-140.5,-43.5,14,8985387008
-139.5,-43.5,14,8985387008
-138.5,-43.5,14,8985387008
-137.5,-43.5,14,8985387008
-136.5,-43.5,14,8985387008
-135.5,-43.5,14,8985387008
-134.5,-43.5,14,8985387008
-133.5,-43.5,14,8985387008
-132.5,-43.5,14,8985387008
-131.5,-43.5,14,8985387008
-130.5,-43.5,14,8985387008
-129.5,-43.5,14,8985387008
-128.5,-43.5,14,8985387008
-127.5,-43.5,14,8985387008
-126.5,-43.5,14,8985387008
-125.5,-43.5,14,8985387008
-124.5,-43.5,11,8985387008
-123.5,-43.5,11,8985387008
-122.5,-43.5,11,8985387008
-121.5,-43.5,11,8985387008
-120.5,-43.5,11,8985387008
-119.5,-43.5,11,8985387008
-118.5,-43.5,11,8985387008
-117.5,-43.5,11,8985387008
-116.5,-43.5,11,8985387008
-115.5,-43.5,11,8985387008
-114.5,-43.5,11,8985387008
-113.5,-43.5,11,8985387008
-112.5,-43.5,11,8985387008
-111.5,-43.5,11,8985387008
-110.5,-43.5,11,8985387008
-109.5,-43.5,11,8985387008
-108.5,-43.5,11,8985387008
-107.5,-43.5,11,8985387008
-106.5,-43.5,11,8985387008
-105.5,-43.5,11,8985387008
-104.5,-43.5,11,8985387008
-103.5,-43.5,11,8985387008
-102.5,-43.5,11,8985387008
-101.5,-43.5,11,8985387008
-100.5,-43.5,11,8985387008
-99.5,-43.5,11,8985387008
-98.5,-43.5,11,8985387008
