x,y,Name,area_m
69.5,-50.5,6,7892061696
70.5,-50.5,6,7892061696
71.5,-50.5,6,7892061696
72.5,-50.5,6,7892061696
73.5,-50.5,6,7892061696
74.5,-50.5,6,7892061696
75.5,-50.5,6,7892061696
76.5,-50.5,6,7892061696
77.5,-50.5,6,7892061696
78.5,-50.5,6,7892061696
79.5,-50.5,6,7892061696
80.5,-50.5,6,7892061696
-49.5,-51.5,2,7725535744
-48.5,-51.5,2,7725535744
-47.5,-51.5,2,7725535744
-46.5,-51.5,2,7725535744
-45.5,-51.5,2,7725535744
-44.5,-51.5,2,7725535744
-43.5,-51.5,2,7725535744
-42.5,-51.5,2,7725535744
-41.5,-51.5,2,7725535744
-40.5,-51.5,2,7725535744
-39.5,-51.5,2,7725535744
-38.5,-51.5,2,7725535744
-37.5,-51.5,2,7725535744
-36.5,-51.5,2,7725535744
-35.5,-51.5,2,7725535744
-34.5,-51.5,2,7725535744
-33.5,-51.5,2,7725535744
-32.5,-51.5,2,7725535744
-31.5,-51.5,2,7725535744
-30.5,-51.5,2,7725535744
-29.5,-51.5,2,7725535744
-28.5,-51.5,2,7725535744
-27.5,-51.5,2,7725535744
-26.5,-51.5,2,7725535744
-25.5,-51.5,2,7725535744
-24.5,-51.5,2,7725535744
-23.5,-51.5,2,7725535744
-22.5,-51.5,2,7725535744
-21.5,-51.5,2,7725535744
-20.5,-51.5,2,7725535744
-19.5,-51.5,4,7725535744
-18.5,-51.5,4,7725535744
-17.5,-51.5,4,7725535744
-16.5,-51.5,4,7725535744
-15.5,-51.5,4,7725535744
-14.5,-51.5,4,7725535744
-13.5,-51.5,4,7725535744
-12.5,-51.5,4,7725535744
-11.5,-51.5,4,7725535744
-10.5,-51.5,4,7725535744
-9.5,-51.5,4,7725535744
-8.5,-51.5,4,7725535744
-7.5,-51.5,4,7725535744
-6.5,-51.5,4,7725535744
-5.5,-51.5,4,7725535744
-4.5,-51.5,4,7725535744
-3.5,-51.5,4,7725535744
-2.5,-51.5,4,7725535744
-1.5,-51.5,4,7725535744
-0.5,-51.5,4,7725535744
0.5,-51.5,4,7725535744
1.5,-51.5,4,7725535744
2.5,-51.5,4,7725535744
3.5,-51.5,4,7725535744
4.5,-51.5,4,7725535744
5.5,-51.5,4,7725535744
6.5,-51.5,4,7725535744
7.5,-51.5,4,7725535744
